Device label,Model,Serial number,Sku number,Manufacturer,NMC Firmware version,IP Address,Location,UPS Score,Score rating,UPS from YYYY-MM,Battery from YYYY-MM,Battery Temperature (avg 24h deg C),External Battery Sku number,Internal Battery Sku number,Output Load (avg 24h in %),Load (min 30 days in %),Load (average 30 days in %),Load (max 30 days in %),Recommendation,Projected health,Projected health at optimal temperature
GLCCD-Niles-UPS-SW5-HQ3rdFl,Smart-UPS 1500,AS2307153183,SMT1500RM2UCNC,APC,v2.0.0.6,10.44.3.72,GLCCD Niles,72.55,Good,2023-02,2023-05,27.202097902097943,,APCRBC133,31.740677022953857,30.3,31.38931184026413,33.7,Lower the battery temperature to 25 degrees C,2027-08-20,2028-05-29
GLCCD-Niles-UPS-SW7-QA,Smart-UPS 750,AS1829144761,SMT750RM2UNC,APC,v7.1.2,10.44.2.208,GLCCD Niles,64.42,Average,2018-07,2023-07,24.437282229965295,,RBC123,34.277387039549225,31.9,33.471786708819586,35.1,Lower the battery temperature to 25 degrees C,2028-08-20,2028-11-18
GLCCD-Niles-UPS-SW9-DEPAL,Smart-UPS 750,AS2304230184,SMT750RM2UCNC,APC,v2.0.0.6,10.44.2.182,GLCCD Niles,77.04,Good,2023-01,2023-05,27.521951219512243,,APCRBC123,42.81981243624223,41.9,42.702191869853266,43.2,Lower the battery temperature to 25 degrees C,2027-12-19,2028-08-01
GLCCD-Owatonna-UPS-MDF,Smart-UPS 3000,AS1830340424,SMT3000RM2UNC,APC,v6.5.0,10.20.208.228,GLCCD Owatonna,,,,,26.197714285714287,,RBC43,,,,,,,
GLCCD-ParkCity-UPS-DMARK,Smart-UPS 750,3S1723X02888,SMT750,APC,v7.1.2,10.20.148.231,GLCCD Park City,,,,,27.300000000000075,,RBC48,,5.9,5.899999999999824,5.9,,,
GLCCD-Rhinelander-UPS,Smart-UPS 1500,AS2112132091,SMT1500RM2UNC,APC,v1.3.3.1,10.20.224.221,GLCCD Rhinelander,44.3,Average,2021-03,2021-03,22.34908424908425,,APCRBC133,31.242718378837388,29.2,31.110071283543203,32.5,,2025-10-14,2025-10-14
GLCCD-StevensPoint-UPS,Smart-UPS 1500,AS2112232306,SMT1500RM2UNC,APC,v1.3.3.1,10.20.222.131,GLCCD Stevens Point,,,,,17.172800000000024,,APCRBC133,,5.8,17.509864108434034,18.2,,2026-08-21,2026-08-21
GLCCD-Traverse-City-ups1,Smart-UPS 1500,3S2221X13087,SMT1500RM2UC,APC,v2.0.0.6,10.45.178.229,GLCCD Traverse City,,,,,25.461635220125796,,APCRBC133,,24.3,24.79774302319251,25.8,,2027-09-10,2027-11-01
GLCCD-Tullahoma-HQ-UPS-SD1,Smart-UPS SRT    1500,AS2235191886,SRT1500RMXLA-NC,APC,v2.0.0.6,10.53.0.23,GLCCD Tullahoma-PC,65.93,Average,2022-08,2022-08,24.21201413427562,APCRBC155,APCRBC155,27.564582342776955,22.0,25.645771234836,28.3,,2027-05-11,2027-05-14
GLCCD-Tullahoma-HQ-UPS-SD2,Smart-UPS SRT    1500,AS2235191884,SRT1500RMXLA-NC,APC,v2.0.0.6,10.53.0.24,GLCCD Tullahoma-PC,72.87,Good,2022-08,2022-08,23.13684210526316,APCRBC155,APCRBC155,24.89784103426287,23.7,26.08012936419649,30.0,,2028-05-04,2028-05-04
GLCCD-Tullahoma-PC-UPS1,Smart-UPS 2200,AS2230152866,SMT2200RM2UNC,APC,v2.0.0.6,10.53.2.44,GLCCD Tullahoma-PC,44.65,Average,2022-07,2022-12,25.68315789473688,,RBC43,106.55469563302071,97.6,104.1539265745138,121.0,Lower the battery temperature to 25 degrees C,2027-11-06,2027-12-05
GLCCD-Tullahoma-PC-UPS2,Smart-UPS 750,AS2137140217,SMT750RM2UNC,APC,v1.3.3.1,10.53.2.45,GLCCD Tullahoma-PC,47.54,Average,2021-09,2022-11,28.42857142857153,,RBC123,70.67264938437636,66.9,70.35388266581569,73.4,Lower the battery temperature to 25 degrees C,2026-10-05,2027-05-27
GLCCD-Tullahoma-PC-UPS3,Smart-UPS 750,AS2137140230,SMT750RM2UNC,APC,v1.3.3.1,10.53.2.46,GLCCD Tullahoma-PC,66.44,Good,2021-09,2023-06,28.89894736842112,,RBC123,13.435740626563206,13.0,13.377435607510595,14.3,Lower the battery temperature to 25 degrees C,2027-06-08,2028-08-11
GLCCD-VanBuren-UPS-MDF,Smart-UPS 1500,AS2115231191,SMT1500RM2UNC,APC,v1.3.3.1,10.44.210.94,GLCCD Van Buren,66.88,Good,2021-04,2021-04,18.29160839160844,,APCRBC133,19.70379327134873,19.5,19.531065995967886,20.1,,2026-11-14,2026-11-14
GLCCD-VanBuren-UPS-SD1,Smart-UPS SRT    1500,AS2032292987,SRT1500RMXLA-NC,APC,v7.1.2,10.44.208.23,GLCCD Van Buren,25.09,Poor,2020-08,2020-08,27.652631578947368,APCRBC155,APCRBC155,61.01992928356133,59.4,60.93620221261089,62.7,Lower the battery temperature to 25 degrees C,,
GLCCD-VanBuren-UPS-SD2,Smart-UPS SRT    1500,AS2032292985,SRT1500RMXLA-NC,APC,v7.1.2,10.44.208.24,GLCCD Van Buren,42.11,Average,2020-08,2020-08,25.035087719298247,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2026-01-13,2026-02-04
GLCCD-WAUSAU-UPS-MDF,Smart-UPS 3000,AS2112162683,SMT3000RM2UNC,APC,v1.3.3.1,10.20.226.105,GLCCD Wausau,53.55,Average,2021-03,2021-03,21.534843205574905,,RBC43,10.399999999999977,9.7,10.380095102081135,10.4,,2026-08-04,2026-08-04
MBCAN-Brampton-UPS1,Smart-UPS SRT    1500,AS2137192336,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.128.23,MBCAN Brampton,41.35,Average,2021-09,2021-09,21.157894736842106,APCRBC155,APCRBC155,14.517601168465351,14.2,18.308373050988184,21.0,,2027-02-17,2027-02-17
MBCAN-Brampton-UPS2,Smart-UPS SRT    1500,AS2137192333,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.128.24,MBCAN Brampton,69.51,Good,2021-09,2021-09,21.00348432055749,APCRBC155,APCRBC155,20.702287324074295,18.6,24.331626186166503,42.0,,2027-05-05,2027-05-05
MBUS-Atlanta-IDF1-UPS1,Smart-UPS 1500,AS2307134544,SMT1500RM2UCNC,APC,v2.0.0.6,10.20.109.167,MBUS Atlanta,89.44,Good,2023-02,2023-05,12.608362369337977,,APCRBC133,80.80275562253648,79.3,81.04948778093781,82.2,,2028-06-18,2028-06-18
MBUS-Atlanta-IDF2-UPS1,Smart-UPS 1500,AS2307134545,SMT1500RM2UCNC,APC,v2.0.0.6,10.20.109.199,MBUS Atlanta,89.46,Good,2023-02,2023-05,12.48675958188154,,APCRBC133,81.98739681877204,81.3,81.96966789607961,89.3,,2028-07-19,2028-07-19
MBUS-Atlanta-MDF-UPS1,Smart-UPS SRT    1500,AS2032292986,SRT1500RMXLA-NC,APC,v6.8.2,10.52.144.18,MBUS Atlanta,53.48,Average,2020-08,2020-08,20.99290780141844,APCRBC155,APCRBC155,21.890992139859488,21.2,21.84333201173822,23.0,,2025-03-13,2025-03-13
MBUS-Atlanta-MDF-UPS2,Smart-UPS SRT    1500,AS2049393677,SRT1500RMXLA-NC,APC,v1.3.3.1,10.52.144.23,MBUS Atlanta,55.63,Average,2020-12,2020-12,21.92982456140351,APCRBC155,APCRBC155,21.165708621249358,18.8,20.925306485206118,30.1,,2025-10-10,2025-10-10
MBUS-Atlanta-MDF-UPS3,Smart-UPS 2200,AS2323253869,SMT2200RM2UNC,APC,v2.0.0.6,10.20.109.93,MBUS Atlanta,78.85,Good,2023-06,2023-06,21.218881118881107,,RBC43,14.041399826036537,13.0,13.922903130942816,14.3,,2029-01-20,2029-01-20
MBUS-Atlanta-MDF-UPS4,Smart-UPS 2200,AS2204263481,SMT2200RM2UNC,APC,v1.3.3.1,10.240.109.229,MBUS Atlanta,67.65,Good,2022-01,2022-01,19.844055944056027,,RBC43,24.30160899553702,23.4,24.113507231434497,24.7,,2026-09-21,2026-09-21
MBUS-CID-IDF5-UPS,Smart-UPS 2200,AS2328132460,SMT2200RM2UNC,APC,v2.0.0.6,10.50.138.241,MBUS City of Industry,71.8,Good,2023-07,2023-07,24.05314685314687,,RBC43,18.8293288349391,10.4,18.76705387219157,18.9,,2029-04-11,2029-04-11
MBUS-CID-IDF6-UPS,Smart-UPS 750,AS2136130061,SMT750RM2UNC,APC,v1.3.3.1,10.50.138.243,MBUS City of Industry,85.2,Good,2021-09,2023-12,8.5,,RBC123,50.903886860256065,50.0,50.898619989000935,51.3,,2028-03-06,2028-03-06
MBUS-CID-IDF7-UPS,Smart-UPS 2200,AS2328132462,SMT2200RM2UNC,APC,v2.0.0.6,10.50.138.247,MBUS City of Industry,78.42,Good,2023-07,2023-07,21.67157894736842,,RBC43,21.338935538493697,20.1,21.310115022482158,23.4,,2028-12-30,2028-12-30
MBUS-CID-IDF8-UPS,Smart-UPS 750,AS2136130059,SMT750RM2UNC,APC,v1.3.3.1,10.50.138.242,MBUS City of Industry,50.62,Average,2021-09,2021-09,5.354385964912254,,RBC123,51.00554715312836,50.0,50.95085383993206,52.0,,2025-09-29,2025-09-29
MBUS-CID-MDF-UPS1,Smart-UPS SRT    1500,AS2122194754,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.128.7,MBUS City of Industry,52.86,Average,2021-06,2021-06,20.32982456140351,APCRBC155,APCRBC155,7.767506755894749,7.4,7.731880934521916,8.4,,,
MBUS-CID-MDF-UPS2,Smart-UPS SRT    1500,AS2122194755,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.128.8,MBUS City of Industry,66.89,Good,2021-06,2021-06,20.96140350877193,APCRBC155,APCRBC155,16.538437641276506,16.0,16.50628244331167,17.4,,2027-02-01,2027-02-01
MBUS-CID-XXXX-UPS-4,Smart-UPS 1500,AS1903332295,SMT1500RM2UNC,APC,v6.5.6,10.50.138.60,MBUS City of Industry,33.41,Average,2019-01,2019-07,19.929929577464915,,APCRBC133,23.210793887265957,22.1,23.1483674268348,25.3,,2024-08-07,2024-08-07
MBUS-Coatsville-IDF1-UPS1,Smart-UPS 2200,AS2324160004,SMT2200RM2UNC,APC,v2.0.0.6,10.20.54.156,MBUS Coatesville,82.19,Good,2023-06,2023-06,20.342456140350976,,RBC43,14.239203089304533,13.0,14.26163053521462,14.3,,2029-01-04,2029-01-04
MBUS-Coatsville-MDF-UPS1,Smart-UPS SRT    1500,AS2129292957,SRT1500RMXLA-NC,APC,v1.3.3.1,10.52.160.24,MBUS Coatesville,69.32,Good,2021-07,2021-07,20.196491228070176,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,2027-03-11,2027-03-11
MBUS-Coatsville-MDF-UPS2,Smart-UPS SRT    1500,AS2129292958,SRT1500RMXLA-NC,APC,v1.3.3.1,10.52.160.23,MBUS Coatesville,64.56,Average,2021-07,2021-07,20.894736842105264,APCRBC155,APCRBC155,68.56136015947338,64.9,68.2798793598628,77.5,,2026-01-27,2026-01-27
MBUS-Coatsville-MDF-UPS3,Smart-UPS X 3000,AS1822152672,SMX3000RMLV2UNC,APC,v6.5.0,10.20.54.228,MBUS Coatesville,42.7,Average,2018-05,2018-05,20.696140350877148,APCRBC118,APCRBC117,7.645819479360964,7.2,7.587838763715828,8.4,Replace battery,,
MBUS-Coatsville-MDF-UPS4,Smart-UPS X 3000,AS1822152656,SMX3000RMLV2UNC,APC,v6.5.0,10.20.54.89,MBUS Coatesville,31.98,Poor,2018-05,2018-05,24.81328671328672,APCRBC118,APCRBC117,22.528821184046873,21.3,22.051798978747488,24.3,Replace battery,,
MBUS-Conroe-IDF1-UPS1,Smart-UPS 1500,AS2307134476,SMT1500RM2UCNC,APC,v2.0.0.6,10.27.22.144,MBUS Conroe,56.71,Average,2023-02,2023-11,37.1894736842105,,APCRBC133,8.60745668568508,8.0,8.567144576292579,9.0,Lower the battery temperature to 25 degrees C,2026-01-25,2028-08-07
MBUS-Conroe-IDF1-UPS2,Smart-UPS 1500,AS2307134470,SMT1500RM2UCNC,APC,v2.0.0.6,10.27.22.58,MBUS Conroe,77.45,Good,2023-02,2023-11,27.142456140350877,,APCRBC133,26.112989573547647,25.9,26.11466694850945,26.8,Lower the battery temperature to 25 degrees C,2028-05-29,2029-03-14
MBUS-Conroe-IDF1-UPS3,Smart-UPS 1500,AS2307134471,SMT1500RM2UCNC,APC,v2.0.0.6,10.27.22.56,MBUS Conroe,56.83,Average,2023-02,2023-11,36.06398601398598,,APCRBC133,15.989893567685396,14.6,15.990771262885268,16.2,Lower the battery temperature to 25 degrees C,2026-02-21,2028-07-02
MBUS-Conroe-IDF8-UPS1,Smart-UPS 1500,AS2307331969,SMT1500RM2UCNC,APC,v2.0.0.6,10.27.22.59,MBUS Conroe,62.83,Average,2023-02,2023-11,32.520629370629386,,APCRBC133,13.208632335051846,12.1,13.201574831142521,13.7,Lower the battery temperature to 25 degrees C,2026-10-27,2028-10-13
MBUS-Conroe-MDF-UPS1,Smart-UPS SRT    1500,AS2123190211,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.176.126,MBUS Conroe,35.64,Average,2021-06,2021-06,28.256140350877192,APCRBC155,APCRBC155,17.064519958105432,16.2,16.9480054978112,17.8,Lower the battery temperature to 25 degrees C,2025-05-06,2025-07-06
MBUS-Conroe-MDF-UPS2,Smart-UPS SRT    1500,AS2122295869,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.176.125,MBUS Conroe,42.23,Average,2021-06,2021-06,27.477192982456142,APCRBC155,APCRBC155,22.31536009828237,17.1,22.115843630622166,31.0,Lower the battery temperature to 25 degrees C,2026-06-06,2026-09-28
MBUS-Conroe-MDF-UPS3,Smart-UPS 2200,AS2325331342,SMT2200RM2UNC,APC,v2.0.0.6,10.27.22.57,MBUS Conroe,62.23,Average,2023-06,2023-06,27.486363636363645,,RBC43,29.497963772063002,28.0,29.222998668366568,30.0,Lower the battery temperature to 25 degrees C,2026-07-02,2026-09-26
MBUS-Dickson-IDF1-UPS1,Smart-UPS 1000,3S1831X15296,SMT1000RM2UC,APC,v6.5.0,172.16.16.103,MBUS Dickson,12.33,Poor,2018-08,2018-11,31.316783216783268,,APCRBC132,33.55663949726953,32.6,33.56533484825641,35.0,"Replace battery, Lower the battery temperature to 25 degrees C",,
MBUS-Dickson-IDF2-UPS,Smart-UPS X 1500,AS2046234801,SMX1500RM2UNC,APC,v1.1.0.16,172.16.16.96,MBUS Dickson,31.53,Poor,2020-11,2020-11,28.268531468531474,SMX48RMBP2U,APCRBC115,16.857085550647504,16.6,16.868386639000448,17.4,Lower the battery temperature to 25 degrees C,2025-06-06,2025-09-14
MBUS-Dickson-MDF-UPS1,Smart-UPS SRT    1500,AS2128290906,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.16.23,MBUS Dickson,66.88,Good,2021-07,2021-07,21.444055944055943,APCRBC155,APCRBC155,60.42244552423145,59.3,60.31517139547048,62.0,,2027-03-05,2027-03-05
MBUS-Dickson-MDF-UPS2,Smart-UPS SRT    1500,AS2128290907,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.16.24,MBUS Dickson,65.62,Average,2021-07,2021-07,20.389473684210525,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,2026-04-26,2026-04-26
MBUS-Dickson-MDF-UPS3,Smart-UPS 1500,AS2307153149,SMT1500RM2UCNC,APC,v2.0.0.6,10.44.143.146,MBUS Dickson,,,,,21.804237288135667,,APCRBC133,,,,,,2029-04-04,2029-04-04
MBUS-DicksonROP-IDF1-UPS,Smart-UPS 1000,3S2321X13278,SMT1000RM2UC,APC,v2.0.0.6,172.16.13.140,MBUS DicksonROP,89.61,Good,2023-05,2023-12,23.76118881118881,,APCRBC132,17.282329005332688,16.4,17.172637328453828,18.6,,2029-03-23,2029-04-30
MBUS-DicksonROP-IDF2-UPS1,Smart-UPS 1000,3S2321X13263,SMT1000RM2UC,APC,v2.0.0.6,10.28.111.147,MBUS DicksonROP,77.38,Good,2023-05,2023-12,28.306315789473626,,APCRBC132,19.3074649013993,18.4,18.909096494648203,20.0,Lower the battery temperature to 25 degrees C,2028-01-06,2029-02-20
MBUS-DicksonROP-IDF3-UPS1,Smart-UPS 1000,3S2321X13264,SMT1000RM2UC,APC,v2.0.0.6,10.28.111.58,MBUS DicksonROP,79.64,Good,2023-05,2023-12,27.616491228070174,,APCRBC132,15.917433596512614,15.4,15.792904254718428,16.3,Lower the battery temperature to 25 degrees C,2028-02-14,2029-03-20
MBUS-DicksonROP-MDF-UPS1,Smart-UPS SRT    1500,AS2128290872,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.104.23,MBUS DicksonROP,58.31,Average,2021-07,2021-07,23.862676056338028,APCRBC155,APCRBC155,34.276865377480995,31.4,34.34966724766277,43.3,,2027-02-23,2027-02-23
MBUS-DicksonROP-MDF-UPS2,Smart-UPS SRT    1500,AS2128290873,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.104.24,MBUS DicksonROP,57.29,Average,2021-07,2021-07,23.249122807017542,APCRBC155,APCRBC155,27.900216804053187,27.2,28.051063643130405,29.0,,2026-03-09,2026-03-09
MBUS-Enfield-IDF1-UPS1,Smart-UPS 1500,AS2307134546,SMT1500RM2UCNC,APC,v2.0.0.6,172.16.11.175,MBUS Enfield,78.25,Good,2023-02,2023-05,24.874035087719307,,APCRBC133,23.29923360541691,23.1,23.284601098189196,23.8,,2028-03-02,2028-05-05
MBUS-Enfield-IDF2-UPS2,Smart-UPS 1000,3S2316X12828,SMT1000RM2UC,APC,v2.0.0.6,172.16.11.181,MBUS Enfield,86.6,Good,2023-04,2023-07,23.787062937062945,,APCRBC132,8.19652885663275,8.0,8.188542214926738,8.4,Lower the battery temperature to 25 degrees C,2028-01-18,2028-11-24
MBUS-Enfield-MDF-UPS1,Smart-UPS SRT    1500,AS2122194745,SRT1500RMXLA-NC,APC,v1.3.3.1,10.45.0.23,MBUS Enfield,58.4,Average,2021-06,2021-06,22.526315789473685,APCRBC155,APCRBC155,29.128429326655535,28.2,29.091090377638796,30.6,,2025-12-28,2025-12-28
MBUS-Enfield-MDF-UPS2,Smart-UPS SRT    1500,AS2128290902,SRT1500RMXLA-NC,APC,v1.3.3.1,10.45.0.24,MBUS Enfield,65.27,Average,2021-07,2021-07,22.0,APCRBC155,APCRBC155,30.745383821636857,25.8,30.66282960711859,51.4,,2027-03-27,2027-03-27
MBUS-Fairfield-IDF1-UPS,Smart-UPS 1500,AS2307154009,SMT1500RM2UCNC,APC,v2.0.0.6,10.240.56.58,MBUS Fairfield,83.34,Good,2023-02,2023-05,22.860839160839145,,APCRBC133,32.87985290010243,32.1,32.81233429628695,33.2,,2028-08-30,2028-08-30
MBUS-Fairfield-IDF2-UPS1,Smart-UPS 1000,3S2321X13270,SMT1000RM2UC,APC,v2.0.0.6,10.240.56.146,MBUS Fairfield,75.06,Good,2023-05,2023-08,28.65263157894737,,APCRBC132,31.376552919686837,31.0,31.34434148009883,31.8,Lower the battery temperature to 25 degrees C,2027-10-02,2028-12-20
MBUS-Fairfield-MDF-UPS1,Smart-UPS SRT    1500,AS2129192711,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.56.23,MBUS Fairfield,54.54,Average,2021-07,2021-07,24.687719298245614,APCRBC155,APCRBC155,41.469044657078754,39.0,41.341322851576734,55.1,,2026-05-29,2027-02-25
MBUS-Fairfield-MDF-UPS2,Smart-UPS SRT    1500,AS2129292952,SRT1500RMXLA-NC,APC,v1.3.3.1,10.28.56.24,MBUS Fairfield,54.54,Average,2021-07,2021-07,24.681818181818183,APCRBC155,APCRBC155,37.35373745102132,35.8,37.61115700052266,39.6,,2026-06-17,2027-03-01
MBUS-Fridley-IDF2-UPS,Smart-UPS 1000,3S2225X10999,SMT1000RM2UC,APC,v2.0.0.6,10.28.117.146,MBUS Fridley,76.27,Good,2022-06,2022-08,24.486013986013965,,APCRBC132,58.834881802869255,55.9,58.85190450999317,59.7,,2027-08-29,2027-08-30
MBUS-Fridley-MDF-UPS1,Smart-UPS 2200,AS2328132430,SMT2200RM2UNC,APC,v2.0.0.6,10.28.117.147,MBUS Fridley,,,,,21.40000000000005,,RBC43,,25.3,25.905159326814402,27.3,,2029-03-17,2029-03-17
MBUS-Fridley-MDF-UPS2,Smart-UPS SRT    1500,AS2234293821,SRT1500RMXLA-NC,APC,v2.0.0.6,10.28.116.23,MBUS Fridley,,,,,,APCRBC155,APCRBC155,38.84846833726712,36.9,38.84846833726712,41.3,,,
MBUS-Fridley-MDF-UPS3,Smart-UPS SRT    1500,AS2234293812,SRT1500RMXLA-NC,APC,v2.0.0.6,10.28.116.24,MBUS Fridley,,,,,,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,,
MBUS-Garner-MDF-UPS1,Smart-UPS SRT    1500,AS2235292681,SRT1500RMXLA-NC,APC,v2.0.0.6,10.50.32.23,MBUS Garner,79.65,Good,2022-08,2022-08,21.0,APCRBC155,APCRBC155,22.3690054211843,21.0,22.177473124512037,23.7,,2028-03-07,2028-03-07
MBUS-Garner-MDF-UPS2,Smart-UPS SRT    1500,AS2235191965,SRT1500RMXLA-NC,APC,v2.0.0.6,10.50.32.24,MBUS Garner,77.19,Good,2022-08,2022-08,21.0,APCRBC155,APCRBC155,36.71503663513262,35.4,36.699760606355774,38.0,,2027-02-14,2027-02-14
MBUS-Garner-MDF-UPS3,Smart-UPS 1500,AS2323160160,SMT1500RM2UCNC,APC,v2.0.0.6,10.50.42.161,MBUS Garner,88.36,Good,2023-06,2023-09,21.251748251748342,,APCRBC133,69.71200495192693,65.4,69.7807136401382,82.0,,2028-10-23,2028-10-23
MBUS-Garner-XXX-UPS1,Smart-UPS 1000,3S1832X18832,SMT1000RM2UC,APC,v6.5.0,10.50.42.101,MBUS Garner,59.81,Average,2018-08,2023-11,27.45508771929825,,APCRBC132,49.2312328195135,46.8,49.24402021216998,55.4,Lower the battery temperature to 25 degrees C,2028-02-06,2029-01-09
MBUS-Garner-XXX-UPS3,Smart-UPS 1000,3S1832X18897,SMT1000RM2UC,APC,v6.5.0,10.50.42.61,MBUS Garner,26.68,Poor,2018-08,2023-04,38.34912891986065,,APCRBC132,75.06539701312558,72.3,74.45890679739544,78.2,Lower the battery temperature to 25 degrees C,2025-05-12,2026-11-01
MBUS-Harriman-IDF1-UPS,Smart-UPS 1500,AS2307332087,SMT1500RM2UCNC,APC,v2.0.0.6,172.16.49.189,MBUS Harriman,83.14,Good,2023-02,2023-05,22.863157894736855,,APCRBC133,24.22573591643193,24.1,24.514364988674657,24.9,,2028-06-27,2028-08-28
MBUS-Harriman-IDF2-UPS,Smart-UPS 1000,3S2316X12964,SMT1000RM2UC,APC,v2.0.0.6,172.16.49.181,MBUS Harriman,87.19,Good,2023-04,2023-07,22.648083623693378,,APCRBC132,10.815586704230554,7.9,8.918368109562666,11.1,,2028-09-25,2028-09-25
MBUS-Harriman-MDF-UPS1,Smart-UPS SRT    1500,AS2128290911,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.224.23,MBUS Harriman,62.17,Average,2021-07,2021-07,22.950877192982457,APCRBC155,APCRBC155,70.12855818266115,66.6,69.95100532543657,83.8,,2027-01-27,2027-01-27
MBUS-Harriman-MDF-UPS2,Smart-UPS SRT    1500,AS2128290914,SRT1500RMXLA-NC,APC,v1.3.3.1,10.50.224.24,MBUS Harriman,68.73,Good,2021-07,2021-07,20.743859649122808,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,2027-03-25,2027-03-25
MBUS-Harriman-MDF-UPS4,Smart-UPS 2200,AS2324160009,SMT2200RM2UNC,APC,v2.0.0.6,172.16.49.185,MBUS Harriman,88.28,Good,2023-06,2023-06,18.05699300699305,,RBC43,0.4028099786701289,0.0,0.10627286424257554,4.0,,2029-03-11,2029-03-11
MBUS-Harriman-MDF-UPS5,Smart-UPS 2200,AS2323253890,SMT2200RM2UNC,APC,v2.0.0.6,172.16.49.169,MBUS Harriman,88.46,Good,2023-06,2023-06,17.99685314685318,,RBC43,0.0,0.0,0.0,0.0,,2029-03-10,2029-03-10
MBUS-Lebanon-IDF1-UPS1,Smart-UPS 1500,AS2307154003,SMT1500RM2UCNC,APC,v2.0.0.6,10.50.74.251,MBUS Lebanon,80.36,Good,2023-02,2023-05,24.716724738675964,,APCRBC133,11.663719204683781,11.1,11.711082832773288,12.6,,2028-09-09,2028-09-24
MBUS-Lebanon-IDF2-UPS1,Smart-UPS 1000,3S2321X13267,SMT1000RM2UC,APC,v2.0.0.6,10.50.74.248,MBUS Lebanon,74.22,Good,2023-05,2023-08,28.45563380281691,,APCRBC132,44.52504332251723,42.9,44.34907411987287,45.8,Lower the battery temperature to 25 degrees C,2027-08-26,2028-08-12
MBUS-Lebanon-IDF3-UPS1,Smart-UPS 1000,3S2321X13269,SMT1000RM2UC,APC,v2.0.0.6,10.50.74.249,MBUS Lebanon,80.95,Good,2023-05,2023-12,27.35839160839161,,APCRBC132,17.558542374458963,17.2,17.49962874448178,18.0,Lower the battery temperature to 25 degrees C,2028-10-01,2029-05-29
MBUS-Lebanon-MDF-UPS1,Smart-UPS SRT    1500,AS2349392636,SRT1500RMXLA-NC,APC,v2.0.0.6,10.50.64.24,MBUS Dickson,,,,,,APCRBC155,APCRBC155,47.8643483978655,46.4,47.8643483978655,49.9,,,
MBUS-Lebanon-MDF-UPS2,Smart-UPS SRT    1500,AS2349392635,SRT1500RMXLA-NC,APC,v2.0.0.6,10.50.64.23,MBUS Dickson,,,,,,APCRBC155,APCRBC155,0.0,0.0,0.0,0.0,,,
MBUS-Lebanon-MDF-UPS3,Smart-UPS 1500,AS2307154005,SMT1500RM2UCNC,APC,v2.0.0.6,10.50.74.253,MBUS Lebanon,80.07,Good,2023-02,2023-05,24.210839160839193,,APCRBC133,42.59253707117433,36.7,41.07387882087748,52.8,,2028-01-14,2028-04-13
MBUS-Lebanon-MDF-UPS4,Smart-UPS 1500,AS2307154002,SMT1500RM2UCNC,APC,v2.0.0.6,10.50.74.254,MBUS Lebanon,78.71,Good,2023-02,2023-05,24.51087719298244,,APCRBC133,0.0,0.0,49.62775477633172,77.2,,2027-08-08,2028-01-14
MBUS-Lexington-IDF1-UPS1,Smart-UPS 1000,3S1831X15298,SMT1000RM2UC,APC,v6.5.0,10.50.50.171,MBUS Lexington,43.35,Average,2018-08,2023-01,30.73916083916089,,APCRBC132,0.0,0.0,0.0,0.0,Lower the battery temperature to 25 degrees C,2026-10-12,2028-02-21
MBUS-Lexington-IDF1-UPS2,Smart-UPS 1000,3S2321X13357,SMT1000RM2UC,APC,v2.0.0.6,10.50.48.107,MBUS Lexington,79.06,Good,2023-05,2023-08,27.34912280701759,,APCRBC132,6.415377480986827,6.1,6.396174752952134,6.9,Lower the battery temperature to 25 degrees C,2028-04-21,2029-01-17
MBUS-Lexington-IDF2-UPS2,Smart-UPS 1500,AS2323160159,SMT1500RM2UCNC,APC,v2.0.0.6,10.50.50.15,MBUS Lexington,75.9,Good,2023-06,2023-09,27.659440559440544,,APCRBC133,21.389437558696333,20.4,21.262541358194618,22.0,Lower the battery temperature to 25 degrees C,2028-10-07,2029-01-13
MBUS-Lexington-IDF3-UPS1,Smart-UPS 1000,3S2114X12690,SMT1000RM2UC,APC,v6.1.1,10.50.50.164,MBUS Lexington,54.5,Average,2021-04,2021-07,27.06197183098591,00:00:00:00,APCRBC132,33.699030899529994,31.9,33.53453661896117,34.8,Lower the battery temperature to 25 degrees C,2026-01-25,2026-04-24
